index,localx,gap,realv,fid
66,375,141.5,7,20
66,382,141,10,21
66,392,140,8,22
66,400,139.5,8,23
66,418,135,9,25
66,427,134.5,8,26
66,435,133,9,27
66,444,132.5,9,28
66,453,132,8,29
66,461,130.5,8,30
66,469,129.5,8,31
66,477,131,0,32
347,371,330,8,104
347,379,331,3,105
347,382,327,10,106
347,392,324,9,107
347,401,333.5,10,108
347,411,333.5,9,109
347,420,335.5,10,110
347,430,335,10,111
347,440,335.5,10,112
347,450,335.5,9,113
347,459,338,10,114
347,469,337,10,115
347,479,338,10,116
347,489,337.5,9,117
347,498,339,9,118
347,507,340.5,10,119
347,517,338.5,9,120
347,526,339.5,10,121
347,536,338.5,8,122
347,544,342.5,10,123
347,554,342.5,9,124
347,563,343,10,125
347,573,342,10,126
356,382,338,10,106
356,392,329.5,9,107
356,401,326.5,10,108
356,411,323,9,109
356,420,316.5,10,110
356,430,313.5,10,111
356,440,305,10,112
356,450,301.5,9,113
356,459,296,10,114
356,469,289,10,115
356,479,284,10,116
356,489,278.5,9,117
356,498,274.5,9,118
356,507,269.5,10,119
356,517,262.5,9,120
356,526,257.5,10,121
356,536,251,8,122
356,544,248,10,123
356,554,242,9,124
356,563,237,10,125
356,573,230.5,10,126
356,583,226,10,127
356,593,219.5,9,128
356,602,214,9,129
456,92,78.5,4,142
456,96,74.5,6,143
456,102,78.5,7,144
456,109,70.5,6,145
456,115,70,7,146
456,122,68.5,7,147
456,129,68.5,6,148
456,135,69,7,149
456,142,69,7,150
456,149,69,9,151
456,158,71,7,152
456,165,69.5,10,153
456,175,73,7,154
456,182,69.5,4,155
456,186,71,10,156
456,196,71,7,157
456,203,70,7,158
456,210,68.5,4,159
456,214,68.5,8,160
456,222,70.5,10,161
456,232,72,3,162
456,235,70.5,8,163
456,243,71,6,164
456,249,73.5,7,165
456,256,71.5,8,166
456,264,70.5,7,167
456,271,68.5,7,168
456,284,71,6,170
462,221,116.5,8,145
462,229,117,8,146
462,237,114,10,147
462,247,112.5,10,148
462,257,112.5,10,149
462,267,110,9,150
462,276,108,10,151
462,286,106,9,152
462,295,105.5,10,153
462,305,103.5,10,154
462,315,101.5,10,155
462,325,100,10,156
462,335,97.5,10,157
462,345,96.5,10,158
462,355,94,10,159
462,365,92.5,10,160
462,375,90,10,161
513,110,17,5,159
513,115,18,6,160
513,121,18,6,161
513,127,18,6,162
513,133,19.5,6,163
513,139,19.5,7,164
513,146,18.5,6,165
513,152,19,6,166
513,158,17.5,5,167
513,163,18,5,168
513,168,20.5,8,169
513,176,18,8,170
513,184,17,8,171
513,192,14.5,4,172
562,297,68.5,7,171
562,304,69.5,7,172
562,311,68,7,173
562,318,68.5,7,174
562,325,72,2,175
562,327,72.5,9,176
562,336,71.5,5,177
562,341,72,8,178
562,349,76.5,8,179
562,367,74,10,181
562,377,72,2,182
562,379,73.5,2,183
715,29,187.5,5,206
715,34,184,4,207
715,38,183,8,208
715,46,187.5,8,209
715,54,186.5,8,210
715,62,184.5,8,211
715,70,176.5,8,212
715,78,178.5,8,213
715,86,179,9,214
715,95,176,8,215
715,103,174,8,216
715,111,174,8,217
