index,localx,gap,realv,fid
14,172,202,9,6
14,181,207.5,7,7
14,188,207.5,6,8
14,194,209,8,9
14,202,206,7,10
14,209,206,5,11
14,214,208.5,7,12
14,221,206.5,7,13
14,228,204,8,14
14,236,195.5,3,15
14,239,187.5,2,16
26,609,147,8,6
26,617,146.5,9,7
26,626,146,7,8
26,633,146.5,9,9
26,642,145.5,8,10
26,650,145.5,8,11
26,658,145.5,7,12
26,665,145,7,13
26,672,146,9,14
26,681,146,10,15
26,691,145.5,7,16
26,698,145.5,8,17
26,706,145.5,6,18
26,712,145.5,7,19
26,719,146,8,20
26,727,146,10,21
26,737,145.5,9,22
26,746,144.5,7,23
26,753,146,7,24
26,760,147,7,25
26,767,145,9,26
26,776,146,7,27
26,783,146,8,28
51,463,139,9,9
51,472,141,4,10
51,476,144.5,6,11
51,482,146.5,6,12
51,488,145.5,9,13
51,497,146,5,14
51,502,150.5,5,15
51,507,155.5,6,16
51,513,158.5,7,17
51,520,159.5,9,18
51,529,163.5,4,19
51,533,167,6,20
51,539,169,8,21
51,547,171,4,22
51,551,175.5,5,23
51,556,174.5,5,24
51,561,179,7,25
51,568,179.5,7,26
51,575,181.5,9,27
51,584,185.5,5,28
51,589,185,8,29
51,597,187,7,30
51,604,189.5,4,31
51,608,191.5,4,32
51,612,198,10,33
51,622,196.5,5,34
51,627,197.5,8,35
51,635,199.5,4,36
51,639,203,8,37
51,647,204,7,38
51,654,206,5,39
51,659,207.5,6,40
51,665,210,7,41
51,672,210.5,4,42
51,676,212.5,3,43
51,679,216.5,3,44
58,307,38.5,7,14
58,314,41,8,15
58,322,39,5,16
58,327,48.5,7,17
58,334,48,6,18
58,340,48.5,6,19
58,346,52,5,20
58,351,51,7,21
58,358,53,6,22
58,364,54.5,9,23
58,373,54.5,1,24
58,374,55.5,7,25
58,381,57.5,6,26
58,387,56,5,27
64,548,149.5,7,17
64,555,150,7,18
64,562,152,8,19
64,570,152,8,20
64,578,152,8,21
64,586,151.5,0,22
64,586,152,8,23
64,594,153,8,24
64,602,153.5,7,25
64,609,153,7,26
64,616,153,6,27
64,622,155.5,7,28
64,659,156.5,10,33
64,669,156.5,6,34
64,675,157.5,6,35
64,681,158.5,6,36
67,166,84,9,21
67,175,82.5,7,22
67,182,83,0,23
67,182,91,7,24
67,189,90,8,25
67,197,83.5,6,26
67,203,85,6,27
67,209,83,6,28
67,215,82,8,29
67,223,83,7,30
67,230,82,6,31
67,236,86,6,32
67,242,86,7,33
67,249,86.5,7,34
67,256,86.5,7,35
67,263,87,6,36
67,269,87.5,7,37
67,276,87.5,7,38
67,283,86,6,39
67,289,84.5,6,40
67,295,86,6,41
67,301,86.5,7,42
67,308,86,6,43
67,314,86,7,44
67,321,86.5,7,45
67,328,86.5,6,46
67,334,86,7,47
67,341,87,6,48
67,347,88,7,49
67,354,86,7,50
67,361,86,8,51
67,369,84,5,52
67,374,87,8,53
67,382,83.5,8,54
67,394,85.5,4,56
70,550,187.5,5,24
70,555,186.5,4,25
70,559,185.5,7,26
70,566,189,6,27
70,572,190,7,28
70,579,190,7,29
70,586,189.5,8,30
70,594,190.5,8,31
70,602,190,6,32
70,608,191.5,8,33
70,616,188,7,34
70,623,192,8,35
70,631,188,7,36
70,638,188,8,37
70,646,189,5,38
70,651,193.5,8,39
70,659,192.5,8,40
70,667,195,7,41
70,674,193.5,5,42
70,679,194,7,43
70,686,195,7,44
70,693,195,6,45
70,699,196,9,46
70,708,199.5,7,47
70,715,197.5,7,48
70,722,196,7,49
73,398,58.5,7,28
73,405,58.5,7,29
73,412,59.5,7,30
73,419,60.5,7,31
73,426,60,6,32
73,432,63.5,7,33
73,439,63,7,34
73,446,63,6,35
73,452,65.5,7,36
73,459,67,7,37
73,466,69,7,38
73,473,65.5,0,39
73,473,66.5,1,40
73,474,75,1,41
73,475,80.5,0,42
90,304,178.5,6,76
90,310,179,6,77
90,316,179.5,7,78
90,323,178.5,6,79
90,329,178,8,80
90,337,177,7,81
90,344,175.5,6,82
90,350,176,6,83
90,356,175,7,84
90,363,174,8,85
90,371,173,5,86
90,376,174,7,87
90,383,173,7,88
90,390,172,6,89
90,396,172,7,90
90,403,170,8,91
90,411,170,7,92
90,418,169,5,93
90,423,169,7,94
90,430,169,6,95
90,436,168.5,8,96
90,444,168,6,97
90,450,166,6,98
90,456,168.5,6,99
90,462,167.5,7,100
90,469,167,7,101
90,476,167,6,102
90,482,166,6,103
90,488,166.5,7,104
90,495,165,6,105
90,501,165,7,106
90,508,164.5,6,107
90,514,165,6,108
90,520,164,6,109
90,526,164,7,110
90,533,163,7,111
90,540,162.5,6,112
90,546,162,7,113
90,553,161.5,7,114
90,560,160.5,5,115
90,565,161,9,116
90,574,160.5,4,117
90,578,161,6,118
90,584,160.5,7,119
90,591,158,6,120
90,597,157.5,7,121
90,604,157,6,122
90,610,156.5,6,123
90,616,157.5,6,124
90,622,155.5,6,125
90,628,155.5,7,126
90,635,155,5,127
90,640,154.5,6,128
90,646,154.5,6,129
90,652,154.5,6,130
90,658,154.5,6,131
90,664,154.5,7,132
90,671,154.5,5,133
90,676,154,5,134
90,681,154.5,6,135
90,687,154.5,7,136
90,694,154,5,137
90,699,154,6,138
90,705,154,5,139
90,710,154.5,6,140
90,716,155,5,141
90,721,154.5,7,142
90,728,154,6,143
90,734,153.5,4,144
90,738,154.5,7,145
90,745,155,4,146
90,749,155.5,7,147
90,756,155,4,148
90,760,155.5,6,149
90,766,155,5,150
90,771,155.5,5,151
128,318,257,9,59
128,327,259,9,60
128,336,258.5,10,61
128,346,255,9,62
128,355,249,9,63
128,364,247.5,10,64
128,374,244.5,9,65
128,383,247,5,66
128,388,245,9,67
128,397,239.5,9,68
128,406,238,9,69
128,415,237,0,70
137,738,57,6,63
137,744,56.5,7,64
137,751,59,7,65
137,758,55.5,7,66
137,765,55.5,5,67
137,770,59.5,9,68
137,779,55.5,5,69
137,784,62.5,8,70
137,792,59.5,7,71
137,799,60,9,72
137,808,58.5,6,73
137,814,64,8,74
137,822,65,0,75
138,450,83,7,63
138,457,81.5,5,64
138,462,82.5,8,65
138,470,82,6,66
138,476,81,8,67
138,484,78,8,68
138,492,77,5,69
138,497,77,7,70
138,504,78.5,7,71
138,511,77.5,9,72
138,520,73.5,5,73
138,525,74,8,74
138,533,73,7,75
138,540,72,6,76
138,546,72,7,77
138,553,72.5,7,78
138,560,70,7,79
138,567,69,7,80
138,574,68,7,81
138,581,67,8,82
138,589,66,6,83
138,595,67.5,7,84
138,602,66.5,7,85
138,609,64,9,86
138,618,63,9,87
138,627,61,2,88
138,629,62,7,89
138,636,61.5,6,90
138,642,60.5,9,91
138,651,60.5,7,92
138,658,60,0,93
138,658,59.5,8,94
138,666,58,8,95
138,674,57,8,96
138,682,56,4,97
138,686,56.5,7,98
138,693,57,5,99
138,698,57,8,100
138,706,56,5,101
138,711,56,8,102
138,719,54,7,103
138,726,54,5,104
138,731,54.5,5,105
142,660,82.5,7,68
142,667,82.5,7,69
142,674,83.5,7,70
142,681,84,7,71
142,699,90.5,10,74
142,709,87,7,75
142,716,87.5,4,76
142,720,92,9,77
142,729,88,9,78
142,738,87.5,9,79
142,747,86.5,0,80
163,312,92.5,9,84
163,321,91.5,6,85
163,327,91.5,7,86
163,334,92,8,87
163,342,91.5,3,88
163,345,100,9,89
163,354,95.5,9,90
163,363,92.5,9,91
163,372,91.5,2,92
163,374,101,3,93
163,377,105,3,94
165,173,146,8,86
165,181,145,8,87
165,189,144.5,8,88
165,197,142.5,8,89
165,205,144.5,8,90
165,213,143.5,10,91
165,223,140,7,92
165,230,139,5,93
165,235,139.5,8,94
165,243,139.5,8,95
165,251,140,8,96
165,267,141,0,98
176,388,101.5,7,95
176,395,101.5,8,96
176,403,100,8,97
176,411,100.5,7,98
176,418,102,7,99
176,425,100,7,100
176,432,99.5,7,101
176,439,99,7,102
176,446,100,8,103
176,454,97.5,7,104
176,461,98,7,105
176,468,96.5,7,106
176,475,97,8,107
176,483,96,9,108
176,492,92,5,109
176,497,94.5,6,110
176,503,93,9,111
176,512,92.5,8,112
176,520,89,8,113
176,528,88.5,5,114
176,533,89,6,115
176,539,89.5,8,116
176,547,89,9,117
176,556,82.5,4,118
176,560,87.5,4,119
197,742,52.5,2,106
197,744,53.5,7,107
197,751,51.5,7,108
197,758,51.5,5,109
197,763,52,7,110
197,770,51,6,111
197,776,50.5,6,112
197,782,50.5,6,113
197,788,50.5,6,114
197,794,52.5,6,115
197,800,52.5,6,116
197,806,52.5,7,117
197,813,51,6,118
197,819,48.5,6,119
197,825,49,6,120
197,831,49,6,121
197,837,46.5,6,122
197,843,46.5,6,123
197,849,50.5,6,124
197,855,48.5,7,125
197,862,46.5,6,126
197,868,44,6,127
197,874,44,6,128
205,316,59,7,110
205,323,58.5,6,111
205,329,58.5,8,112
205,337,59.5,6,113
205,343,58.5,8,114
205,351,59.5,7,115
205,358,60,8,116
205,366,58.5,7,117
205,373,58.5,7,118
205,380,58.5,7,119
205,387,58.5,7,120
205,394,59,7,121
205,401,59.5,8,122
205,409,58.5,8,123
205,417,58.5,8,124
205,425,58.5,0,125
212,684,113.5,6,121
212,690,113.5,6,122
212,696,113.5,6,123
212,702,114,6,124
212,708,114,6,125
212,714,114.5,6,126
212,720,114.5,6,127
212,726,114.5,6,128
212,732,114.5,6,129
212,738,114.5,6,130
212,744,114.5,6,131
212,750,113.5,6,132
212,756,115,6,133
212,762,115,6,134
212,796,117.5,6,140
212,802,117.5,6,141
225,551,118,4,133
225,555,118,4,134
225,559,118,8,135
225,567,117,7,136
225,574,116.5,8,137
225,582,115,8,138
