fixedVID,VID,FID,TotalFrame,LocalX,LocalY,L,W,Velocity, Accleration, LanePos, PrecedingVeh, FollowingVeh, Spacing, Headway, DeltaGap, warning
14,14,6,18,172,322,44,13,9,-2,3,24,45,202,22.44444444,-5.5,0
14,14,7,18,181,321,27,12,7,-1,3,24,48,207.5,29.64285714,0,0
14,14,8,18,188,321,26,11,6,2,3,24,48,207.5,34.58333333,-1.5,0
14,14,9,18,194,322,26,13,8,-1,3,24,48,209,26.125,3,0
14,14,10,18,202,322,27,13,7,-2,3,24,52,206,29.42857143,0,0
14,14,11,18,209,321,27,12,5,2,3,24,52,206,41.2,-2.5,0
14,14,12,18,214,321,26,12,7,0,3,24,52,208.5,29.78571429,2,0
14,14,13,18,221,321,28,12,7,-1,3,24,52,206.5,29.5,2.5,0
14,14,14,18,228,321,28,14,6,-3,3,24,59,204,34,8.5,0
14,14,15,18,234,321,28,12,3,1,3,24,52,195.5,65.16666667,8,0
14,14,16,18,237,321,36,12,4,-1,3,24,52,187.5,46.875,211,1
26,26,6,48,609,361,19,12,8,1,1,4,2,147,18.375,0.5,0
26,26,7,48,617,362,20,11,9,-2,1,4,2,146.5,16.27777778,0.5,0
26,26,8,48,626,362,19,11,7,2,1,4,2,146,20.85714286,-0.5,0
26,26,9,48,633,362,20,11,9,-1,1,4,2,146.5,16.27777778,1,0
26,26,10,48,642,362,19,11,8,0,1,4,2,145.5,18.1875,0,0
26,26,11,48,650,361,19,12,8,-1,1,4,2,145.5,18.1875,0,0
26,26,12,48,658,361,19,12,7,0,1,4,44,145.5,20.78571429,0.5,0
26,26,13,48,665,361,22,12,7,0,1,4,44,145,20.71428571,-1,0
26,26,14,48,672,362,22,13,7,3,1,4,56,146,20.85714286,0,0
26,26,15,48,679,362,22,13,10,-1,1,4,56,146,14.6,0.5,0
26,26,16,48,689,362,19,13,9,-1,1,4,56,145.5,16.16666667,0,0
26,26,17,48,698,362,19,13,8,-2,1,4,56,145.5,18.1875,0,0
